Arkansas Regional Innovation Hub | Central Arkansas ...,https://arhub.org/,"As the first and largest Makerspace in Arkansas, we are delighted to provide Hub members with access to a wide range of creative spaces, including a Wood Shop, "
Mobile Makerspace | Arkansas Regional Innovation ...,https://arhub.org/mobile/,"We bring hands-on, interactive STEAM experiences directly to your community"
UCA Makerspace — Art and Design,https://uca.edu/art/uca-makerspace/,"UCA's Makerspace is a collaborative, interdisciplinary workspace with tools to prototype concepts, make new things, and take ideas to the next level"
Makerspace: Heart of the Community - UARK Housing,https://housing.uark.edu/programs/adohi-creative-community/makerspace.php,"The Makerspace is broken up into three distinct parts: Painting, drawing and electronics"
Spaces - Rock It! Lab,https://cals.org/rock-it-lab/spaces/,Makerspace/501 Makers
AR Innovation Hub - Arkansas's First Makerspace,https://www.instagram.com/armakehub/?hl=en,We are a non-profit organization dedicated to improving the lives of Arkansans by inspiring innovation and expanding opportunities
Makerspace,https://np.edu/community-friends/makerspace,"The NPC Makerspace is a publicly accessible workshop, equipped with tools, equipment, and resources for a wide variety of projects"
Makerspace,https://www.salinecountylibrary.org/services/at-the-library/makerspace/,"A makerspace is a communal space that contains tools, equipment, and materials that allow people to come in with an idea and leave with a completed project"
Innovative Arkansas Non-Profit Supports Inventive Minds,https://www.up.com/aboutup/community/inside_track/arkansas-makerspace-07-11-2018.htm,The Mobile Makerspace made its debut May 12 at the Hub's annual Maker Faire
UCA Makerspace,https://www.facebook.com/ucamakerspace/,"The UCA Makerspace, powered by the Conductor and located in Donaghey Hall, gives the UCA community free access to technology to create, from 3D printers to "
UCA Makerspace – UCA Alliance for Economic Impact,https://uca.edu/economicimpact/uca-makerspace/,UCA Makerspace
AR Innovation Hub - Arkansas's First Makerspace | 🎉 ...,https://www.instagram.com/armakehub/p/DDIkVnUKlCX/,"To learn more, visit arhub"
Adohi Creative Community | Housing | University of Arkansas,https://housing.uark.edu/programs/adohi-creative-community/index.php,Makerspace
Reel by AR Innovation Hub - Arkansas's First Makerspace ...,https://www.instagram.com/armakehub/reel/DBzz0ASsa3b/,"Photo by AR Innovation Hub - Arkansas's First Makerspace on November 13, 2024"
AR Innovation Hub - Arkansas's First Makerspace | ...,https://www.instagram.com/armakehub/reel/DCaRktAScSq/,"Photo by AR Innovation Hub - Arkansas's First Makerspace on November 30, 2024"
"About G.I.N. | Paragould, AR",https://discoverparagould.org/489/About-GIN,
"Pop-up Makerspace Available in Springdale, Arkansas",https://blog.teslarsoftware.com/blog/pop-up-makerspace-available-in-springdale-arkansas,"Nov 18, 2019 — The hub is a pop-up makerspace that offers opportunities for adults and children of the community to attend free classes and workshops that "
Arkansas Regional Innovation Hub,https://winrock.org/projects/arkansas-regional-innovation-hub/,"The Innovation Hub, the first and largest makerspace in Arkansas, is a collaborative makerspace that welcomes a diverse community of all ages, interests, and "
Makers,https://www.amazeum.org/makers/,"Recognized for leadership in the Maker Movement in Arkansas and the nation, the Amazeum hosts events like an annual Tinkerfest, monthly Maker Meetups, and "
NWA Fab Lab,https://www.nwafablab.com/,EXPERIMENT
June Classes at Arkansas's Largest Makerspace,https://www.youtube.com/watch?v=zZoaUdzBqx0,
If you want to make AWESOME screen prints for yourself ...,https://m.facebook.com/ARInnovationHub/videos/if-you-want-to-make-awesome-screen-prints-for-yourself-and-your-band-or-to-sell-/765354482143452/,
Arkansas - HackerspaceWiki,https://wiki.hackerspaces.org/Arkansas,"Nov 14, 2009 — Hackerspaces/Makerspace in Arkansas are[edit] "
