Iowa City Fab Lab - Iowa City's Community Makerspace,https://icfablab.org/?srsltid=AfmBOoo3hl8Epoha-I9Pi9_4G73kzZMSTevaF9La6c6nk-E3r-Bqsahe,Eastern Iowa's nonprofit makerspace
Makerspaces - Student Innovation Center - Iowa State University,https://sictr.iastate.edu/makerspaces/,Who can use the Makerspaces? The Student Innovation Center's mission is to provide collaborative space for users from all different backgrounds and disciplines
The Makerspace - Byrne Lab - The University of Iowa,https://byrne.lab.uiowa.edu/makerspace,The Makerspace is the heart of our biomedical engineering lab
"Makerspace | Ankeny, IA",https://www.ankenyiowa.gov/633/Makerspace,Our makerspace is a place for you to get creative
Area515 - The Des Moines Maker Space,https://area515.org/,The Lead CNC is back online and ready for previously-trained members to use once they go through the required retraining materials listed below
MakerSpace,https://marionpubliclibrary.org/makerspace/,"Located on the second level of the library, our MakerSpace is the creative corner of our community"
Makerspace | Cedar Valley Makers | United States,https://www.cedarvalleymakers.org/,Makerspace - Cedar Valley Makers is a gym membership for your mind
Maker Spaces,https://www.crlibrary.org/maker-spaces,"The Downtown Cedar Rapids Public Library has two unique spaces designed to connect patrons with new and emerging technology to build, design, craft, and create"
Stew Makerspace,https://www.facebook.com/StewMakerspace/,"Stew Makerspace, Grinnell, Iowa"
Makerspace,https://www.councilbluffslibrary.org/makerspace,"Explore and develop new ideas at the Makerspace, located on the second floor of the Library"
"Fab Lab, Iowa City: A Makerspace That's More Than Just ...",https://www.iowasource.com/2024/04/05/fablab/,"Apr 5, 2024 — Iowa City Fab Lab is located at 870 S"
Makerspace | Rod Library,https://library.uni.edu/spaces/makerspace,University of Northern Iowa Home
Makerspace | Center for Technology in Learning and ...,https://www.ctlt.iastate.edu/makerspace/,Makerspace
Makerspace,https://www.luther.edu/academics/innovative-facilities/makerspace,Makerspace Staffed Hours
Stew Makerspace,https://www.grinnell.edu/academics/centers-programs/wilson/makerspace,"Grinnell, IA 50112"
MakerSpace,https://www.rivermuseum.org/exhibits/makerspace,"The MakerSpace gallery provides a tinker, design, and create mentality for a personalized experience "
