"Makerspace Initiative • University of Maryland, College Park",https://makerspace.umd.edu/,The Makerspace Initiative is a collaboration amongst creative spaces on campus to unify and democratize access to resources
Maryland Makerspace Initiative Program,https://www.tedcomd.com/funding/maryland-makerspace-initiative-program,Maryland Makerspace Initiative Program
Makerspace | RSC,https://www.rockvillesciencecenter.org/rockville-makerspace,"Makerspace: 33F Maryland Ave, Rockville, MD 20850"
Makerspace at the CSM Velocity Center at Indian Head,https://www.csmd.edu/about/locations/velocity-center/makerspace-page.html,"The Makerspace at the CSM Velocity Center is collaborative work space open to the Navy & local community, equipped with 3D printers, laser cutters, etc"
Makerspace Initiative - Innovation Gateway,https://innovate.umd.edu/resources/makerspace-initiative,"The Makerspace Initiative (MSI) is a consortium of 25+ makerspaces from different departments and units across campus, with the common goal of helping each "
Annapolis Makerspace - Home,https://www.makeannapolis.org/,Annapolis Community Makerspace
Makerspace,https://www.allegany.edu/western-maryland-works/makerspace.html,"The Makerspace is a large commercial grade Digital Fabrication Lab, 3D Printing including commercial grade printers, CNC Machining, and Woodworking lab will be "
Open Works | Make Space for All.,https://www.openworksbmore.org/,"We connect you to manufacturing equipment, space, education, and Baltimore's largest community of maker professionals"
"MakerSpace - DMV - Coworking, Private Offices, Conference ...",https://www.makerspaceoffices.com/,"MakerSpace is a DMV-based, full-scale ecosystem for entrepreneurs to build, brand and broadcast their business "
Makerspaces | Simon Center for Innovation & ...,https://www.loyola.edu/department/center-innovation-entrepreneurship/student-involvement/makerspaces/,"Explore, create, learn, and invent with fellow members of the Loyola University Maryland and Notre Dame of Maryland University communities at the Innovation "
Makerspace | Bowie State,https://www.bowiestate.edu/academics/special-programs/entrepreneurship-innovation-center/makerspace/,A University System of Maryland Member Institution · Contact webmaster@bowiestate
TEDCO Announces 2023 Maryland Makerspace Initiative ...,https://www.tedcomd.com/news-events/press-releases/2023/tedco-announces-2023-maryland-makerspace-initiative-program,"Jul 27, 2023 — 20 projects will receive funding for the creation or expansion of Makerspaces throughout Maryland COLUMBIA, Md"
Makerspace,https://www.allegany.edu/western-maryland-works/makerspace-landing-page-prototype.html,"The Makerspace at Western Maryland Works is a collaborative work space where we encourage creativity, innovation, exploration, and application of personalized "
These are the first 20 Maryland Makerspace Initiative ...,https://technical.ly/civic-news/first-maryland-makerspace-initiative-program/,"Aug 1, 2023 — 20 projects and centers, spread across 11 Maryland counties and Baltimore City, comprise the program's inaugural cohort of grantees"
New program seeks to expand makerspaces across the state,https://business.maryland.gov/blog/new-program-seeks-to-expand-makerspaces-across-the-state,"Aug 15, 2022 — The Maryland Makerspace Initiative Program, created by the Maryland General Assembly earlier this year, will provide grants to support the expansion and "
Western Maryland Works,https://www.facebook.com/WestMdWorks/,Western Maryland Works at Allegany College of Maryland is an accredited education and training center and community-based Makerspace facility that provides 
MakerSpace — Chesapeake Arts Center,https://www.chesapeakearts.org/makerspace,
News Flash • Maryland Makerspace Initiative Program,https://www.annapolis.gov/CivicAlerts.aspx?AID=1798,"May 9, 2024 — The Maryland Makerspace Initiative Program was created to encourage the growth of Maryland Makerspaces through financial and technical "
Maryland Makerspace Initiative Program brings new ...,https://technical.ly/startups/maryland-makerspace-initiative-program/,"May 22, 2023 — The Maryland Makerspace Initiative Program was created to promote makerspace growth throughout the state"
Greenbelt MakerSpace: Home,https://www.greenbeltmakers.org/,"The Greenbelt MakerSpace has a tool lending library in the bottom floor of the Granite Building in Roosevelt Center, 115 Centerway, and runs periodic Repair "
Legislation - SB0453,https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/sb0453?ys=2022RS,Establishing the Maryland Makerspace Initiative Program in the Maryland Technology Development Corporation to encourage the establishment of makerspaces 
Exploration Commons at 50 East - Home,https://explorationcommons.carr.org/,"Have the makerspace programs sparked your creativity, but you're hesitant to "
Maryland Makerspace Initiative Program,https://www.openworksbmore.org/2022/02/maryland-makerspace-initiative-program/,"Feb 14, 2022 — This legislation would help establish makerspaces throughout the State of Maryland with Open Works serving as a model for their success"
