Makerspace - Mississippi State University Libraries,https://www.library.msstate.edu/dmc/spaces/makerspace,"The makerspace features 3D printing, 3D scanning, a Cricut and a Silhouette (die cutters), a heat press, and two sewing machines"
Makerspace,https://www.beanpath.org/makerspace,"The Makerspace is a collaborative, community workshop space designed to engage, inspire & empower Jackson in STEAM (Science, Technology, Engineering, Art & "
The Factory – MSU's Maker Space,https://ecenter.msstate.edu/programs/the-factory-msus-maker-space/,The Factory is a university-wide maker space and supporting organization dedicated to the creation of things
Makerspace - 3D Printing and more!,https://www.northwestms.edu/l/current-students/library/senatobia-learning-resource-center/lib2,"It is a place where you can go to learn, explore, and make new things"
Makerspace - Innovation Center,https://www.jsums.edu/innovationcenter/makerspace/,"The Makerspace focuses on creativity, collaboration and building a community where students can learn, experiment with new tools, develop skills, "
Eagle Maker Hub | Computing Sciences and ...,https://www.usm.edu/computing-sciences-computer-engineering/eagle-maker-hub.php,"USM's Eagle Maker Hub is the first public makerspace available at a Mississippi university, providing access to tools for digital fabrication, rapid prototyping "
The Seemann Makerspace < Coast Episcopal School,https://coastepiscopalschool.org/mc/academics/makerspace/,"CES Makerspace is a hub for learning to design and creating real, functional final products that demonstrate students' undertanding of theory and practice"
Maker Space,https://hcls.info/maker-space,Our 3D printers are available at the Bay St
Maker Spaces - Discovery Center,https://www.starkvillesd.com/discoverycenter/makerspaces,"Maker space, collaborative work places inside our schools, focuses on student-centered inquiry and supports peer collaboration"
MSU Idea Shop - Build Reality,https://ideashopmsu.com/,The MSU Idea Shop offers a public-access maker studio with a gym membership model
Idea Lab - The University of Mississippi Libraries,https://libraries.olemiss.edu/idea-lab/,"The IDEAlab makerspace is open for all UM students, faculty and staff"
creating a - school library makerspace,https://www.mdek12.org/sites/default/files/Offices/MDE/OAE/OEER/Library%20Services/Section%205/Makerspaces.pdf,"The Mississippi State Board of Education, the Mississippi Department of Education, the Mississippi"
IDEA Lab Home,https://libraries.olemiss.edu/idealab/idea-lab-home/,The mission of the J
MakerSpace,https://www.rivermuseum.org/exhibits/makerspace,"The MakerSpace gallery provides a tinker, design, and create mentality for a personalized experience"
TheLab.ms - Everyone's Makerspace,https://thelab.ms/,"We are a non-profit, community-driven space where people can collaborate on technologically-oriented projects using specialized equipment with other humans"
CME MakerSpace (@cmemakerspace),https://www.instagram.com/cmemakerspace/?hl=en,Photo by CME MakerSpace in Haley Barbour Center for Manufacturing Excellence
Visiting TheLab.ms,https://thelab.ms/visit,TheLab
MS Library Media Center / MakerSpace,https://www.slsd.org/Page/4885,MakerSpaces are about students working on projects of their own design
A Wonder-filled Surprise is Coming Soon!,https://mschildrensmuseum.org/museum-updates/a-wonder-filled-surprise-is-coming-soon/,"WonderBox will be a makerspace that will encourage open-ended exploration of topics such as design, art, coding, robotics, engineering, and circuitry, and also "
AI Makerspace Workshop | CSTA Mississippi,https://mississippi.csteachers.org/calendaritem/details?calendaritemid=3b418285-f1f3-48e5-889a-dc825cbf428e&start=2024-05-18&end=2024-05-18,"May 18, 2024 — CSTA Mississippi · Sat May 18, 2024 at 10:00 AM - 12:00 PM"
Mississippi State gets 'Best Maker School' Nod from Make,https://www.innovate.ms/mississippi-state-gets-best-maker-nod-from-make-magazine/,"Mississippi State University, home of the MSU Idea Shop, has made a new Top 200 list for the best ""maker schools"" in global higher education"
Photo Galleries / Brown Maker Space Studio,https://www.jackson.k12.ms.us/Page/2999,
The Future of Mississippi's Economy: The Maker Movement,https://dc.law.mc.edu/cgi/viewcontent.cgi?article=1755&context=lawreview,"by M McLaughlin · 2017 — McLaughlin was a panelist at the Mississippi College Law Review's 2016 Symposium, entitled ""Innovation,"
Mississippi State University,https://makerspacedir.com/listing/mississippi-state-university/,"Hood Road, Mississippi State, Mississippi 39762"
The Mississippi Children's Museum Opens a New STEAM ...,https://mschildrensmuseum.org/press-releases/the-mississippi-childrens-museum-opens-a-new-steam-makerspace-exhibit-wonderbox/,"Press Releases The Mississippi Children's Museum Opens a New STEAM Makerspace Exhibit, WonderBox"
AI Makerspace Workshop | CSTA Mississippi,https://mississippi.csteachers.org/calendaritem/details?calendaritemid=4bddbd23-c893-4baa-8b55-463574dcf32e&start=2024-05-28&end=2024-05-28,"May 28, 2024 — CSTA Mississippi · Tue May 28, 2024 at 6:00 PM - 8:20 PM"
MakerSpace Materials and Tools | 🧠⚙️💡 Support our ...,https://www.facebook.com/rivermuseum/videos/makerspace-materials-and-tools/158396916156425/,
USM Eagle Maker Hub's Summer Camp Set for June 3-27,https://www.usm.edu/news/2024/release/eagle-maker-hub-summer-camp.php,"May 21, 2024 — Eagle Maker Hub is the first public makerspace available at a Mississippi university, providing access to tools for digital fabrication "
The University of Southern Mississippi,https://makerspacedir.com/listing/the-university-of-southern-mississippi/,"Write a review · 118 College Dr, Hattiesburg, MS 39406"
Mississippi Makers Fest 2025,http://msmakersfest.mdah.ms.gov/,"Brought to you by the Mississippi Department of Archives & History, Mississippi Makers Fest takes place on Entergy Plaza at the Two Mississippi Museums in May"
"Top 10 Best Makerspaces in BILOXI, MS",https://www.yelp.com/search?cflt=makerspaces&find_loc=Biloxi%2C+MS,"Best Makerspaces in Biloxi, MS - The Workshop, Nolaworks, Scale New Orleans, The Green Project, NOLA Craft Culture, Runaway Cajun Trading Post"
National Mississippi River Museum & Aquarium,https://www.instagram.com/rivermuseum/p/DCH3i4vx_dZ/,"17 likes, 0 comments - rivermuseum on November 8, 2024: ""Celebrate National STEM Day in the Makerspace"
To Thine Own 3D Selfie Be True,https://ital.corejournals.org/index.php/ital/article/view/15107,"by A Watson · 2023 · Cited by 1 — To promote an academic library makerspace, the University of Mississippi Libraries hosted a “3D selfie” booth which used body scanning technology"
Mississippi's First MakerSpace: Magic is Learning,https://www.linkedin.com/pulse/photo-album-mississippis-first-makerspace-magic-learning-sarenac,"In the second year, our overarching team for now expanded StemLab, the second room being the maker space, the first in Mississippi as far as we "
University of Southern Mississippi - Eagle Maker Hub,https://meridian.makerfaire.com/maker/entry/47/,"Eagle Maker Hub serves as a collaborative space at the University of Southern Mississippi for research, education, innovation, collaboration, and access to "
How a Mississippi Tribe is Inspiring Its Youth to Become ...,https://www.firstnations.org/stories/how-a-mississippi-tribe-is-inspiring-its-youth-to-become-digital-entrepreneurs/,
