Generator Makerspace: Makerspace in Burlington Vermont,https://generatorvt.com/,"Generator is an artist studio, classroom, and business incubator at the intersection of art, science, and technology"
The MINT - Home,https://rutlandmint.org/,Make - Innovate - Network - Tinker
"Maker Program | Champlain College, Burlington, Vermont",https://www.champlain.edu/office/maker-program/,"These maker spaces provide students, faculty and staff access to maker tools and processes like laser engravers, 3D printers, vinyl cutters, sewing machines "
"Welcome to The Foundry | Makerspace in Lyndonville, VT",https://www.thefoundryvt.org/,"The Foundry has over 10,000 sq"
Art Classes | MakerSphere | Waterbury Center,https://www.makerspherevt.com/,"MakerSphere is a 501(c)(3) nonprofit organization serving Waterbury, Vermont and surrounding communities"
MakerSpace,https://www.smcvt.edu/student-life/student-activities/makerspace/,"The MakerSpace is a vibrant, student-oriented place for creativity, prototyping and experimentation, located on the first floor of the Dion Student Center"
Makerspaces : Innovative Education in Vermont,https://tiie.w3.uvm.edu/blog/makerspaces/,What's a makerspace? A makerspace is a space for creating and making
Middlebury Makerspace,https://makerspace.middcreate.net/,The Middlebury Makerspace is a community that brings together people and ideas with tools and support in a beautiful sun-filled space
HatchSpace,https://www.hatchspace.org/,"Take a woodworking class, build a project, connect and grow with others"
The Makery,https://www.hannafordcareercenter.org/the-makery,"The Makery is a membership-based collaborative that currently offers an Engineering Lab/3D Printing, a Building Trades Lab, and a Costume/Sewing Lab"
The MINT - Rutland's Makerspace,https://www.facebook.com/rutlandmakers/,"The MINT - Rutland's Makerspace, Rutland , Vermont"
"Educational Programs in Burlington, VT",https://generatorvt.com/programs/,"Generator provides educational & learning programs for all makers, thinkers, and innovators"
Coworking in Vermont,https://www.creativermont.co/makerspaces,RUTLAND
Reclaimed,https://www.reclaimedvt.org/,A Makerspace & Community Hub
"Makerspaces in Burlington, VT",https://makerspacedir.com/location/burlington/,"Makerspace, Hackerspaces, Fablabs, Coworking spaces, and other creatives in Burlington, VT"
Category: Maker Space,http://uvmfablab.net/category/maker-space/,This week we hosted numerous Art + AI outreach programs in the University of Vermont FabLab
Burlington's Generator Makerspace celebrates a decade,https://www.wcax.com/2024/10/17/burlingtons-generator-makerspace-celebrates-decade/,"Oct 17, 2024 — BURLINGTON, Vt"
"Generator (@generatorvt) · Burlington, VT",https://www.instagram.com/generatorvt/?hl=en,
The MINT: Rutland's Makerspace,https://www.vtsbdc.org/the-mint-rutlands-makerspace/,"Oct 10, 2022 — 12, 2022, Melissa Bounty, Assistant Director of the Central Vermont Economic Development Corporation (CVEDC) and Phyllis Ershowsky, Marketing & "
The Foundry VT,https://www.facebook.com/thefoundryvt/,The Foundry is a Community Workshop and Makerspace in Northeastern Vermont
"Unique Makerspace Projects - Lyndon, VT - The Foundry",https://www.thefoundryvt.org/projects,"Explore a variety of creative projects at The Foundry in Lyndon, VT"
Burlington's Generator Makerspace celebrates a decade,https://www.wcax.com/video/2024/10/17/burlingtons-generator-makerspace-celebrates-decade/,
Generator: Student Memberships | Career Center,https://www.uvm.edu/career/generator-student-memberships,"The Generator Makerspace is a combination of artist studios, classroom, and "
New funding to help support makerspaces for Vermont ...,https://www.wcax.com/2023/08/11/an-update-vermont-makerschools-program/,"Aug 11, 2023 — The statewide program "
Generator launches VT MakerSchools with ...,https://vtta.org/generator-launches-vt-makerschools-with-365000-grant-from-us-department-of-education/,"This funding allows Generator to support the build out of makerspaces in six rural Vermont secondary schools, provide makerspace professional development to "
Generator launches VT MakerSchools with ...,https://vermontbiz.com/news/2023/july/25/generator-launches-vt-makerschools-365000-usdoe,"Jul 25, 2023 — This significant allocation allows Generator to support the buildout of makerspaces in 6 rural Vermont secondary schools, provide makerspace "
New ed program seeks to set up makerspaces in Vt. schools,https://www.wcax.com/video/2023/07/28/new-ed-program-seeks-set-up-makerspaces-vt-schools/,
Maker Spaces | Center for Excellence in Teaching and Learning,https://teaching.vt.edu/programs/pbl-institute/makerspaces.html,Advanced Engineering Design Lab (AEDL) · Brooks Forest Products Center - Innovation and Design Laboratory · Creativity + Innovation District Maker Space (New CID 
Generator Makerspace,https://lccvermont.org/venue/generator-makerspace/,Questions? Email us at vermont@vermont
Greensboro Makerspace Hopes To 'Spark' Innovation In ...,https://www.vermontpublic.org/vpr-news/2018-10-26/greensboro-makerspace-hopes-to-spark-innovation-in-the-northeast-kingdom,"Oct 26, 2018 — If you live in Burlington, Montpelier, Rutland – or any of Vermont's more urban communities – you've probably come across a makerspace or a "
Vermont Manufacturers Meet to Address Labor Shortage,https://www.sevendaysvt.com/news/vermont-manufacturers-meet-to-address-labor-shortage-42115674,"Oct 23, 2024 — Leaders from Beta Technologies, OnLogic and other companies convened at Generator Makerspace to discuss strategies for recruiting and "
February Break Camp at the Generator Makerspace,https://vtworksforwomen.org/february-break-camp-at-the-generator-makerspace/,"Mar 21, 2023 — Vermont Works for Women hosted a Rosie's Girls February break camp with the Generator makerspace in Burlington"
"Maker Space Jobs, Employment in Vermont",https://www.indeed.com/q-maker-space-l-vermont-jobs.html,20 Maker Space jobs available in Vermont on Indeed
Generator,https://www.linkedin.com/company/generator-makerspace,Education
Events | Generator Makerspace,https://app.glueup.com/org/generatormakerspace/view/list,
Makerspace,https://pacemschool.org/beyond-academics/makerspace/,"In the meantime, the Vermont makers' group made us aware of an urgent need for ear savers (little widgets that capture the elastic straps of an N95 mask so that "
